[2026-01-21 23:20:22] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=kamal%27+OR+%271%27%3D%271 | Action: BLOCKED
[2026-01-21 23:20:59] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Cscript%3Ealert%281%29%3C%2Fscript%3E | Action: BLOCKED
[2026-01-21 23:39:23] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=1%27+AND+SUBSTRING%28%28SELECT+password+FROM+users+WHERE+username+%3D+%27admin%27%29%2C+1%2C+1%29+%3D+%27a%27-- | Action: BLOCKED
[2026-01-23 20:58:03] | IP: 127.0.0.1 | Method: GET | Payload:  | Action: ALLOWED
[2026-01-23 20:58:24] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Cscript%3Ealert%281%29%3C%2Fscript%3E | Action: BLOCKED
[2026-01-23 21:10:28] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=kamal | Action: ALLOWED
[2026-01-23 21:10:49] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=kamal%27+OR+%271%27%3D%271 | Action: BLOCKED
[2026-01-23 21:11:51] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Cscript+%2F*%2500*%2F%3E%2F*%2500*%2Falert%281%29%2F*%2500*%2F%3C%2Fscript%3E | Action: BLOCKED
[2026-01-23 22:35:24] | IP: 127.0.0.1 | Method: GET | Payload:  | Action: ALLOWED
[2026-01-23 22:35:40] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-23 22:36:57] | IP: 127.0.0.1 | Method: GET | Payload:  | Action: ALLOWED
[2026-01-23 22:37:04] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-23 22:37:35] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Cimg%2F%26%2309%3B%26%2310%3B%26%2311%3B+src%3D%60%7E%60+onerror%3Dprompt%281%29%3E | Action: BLOCKED
[2026-01-23 22:38:22] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Ciframe+srcdoc%3D%27%26lt%3Bbody+onload%3Dprompt%26lpar%3B1%26rpar%3B%26gt%3B%27%3E | Action: BLOCKED
[2026-01-23 22:38:49] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Cform%3E%3Ctextarea+%26%2313%3B+onkeyup%3D%27%5Cu0061%5Cu006C%5Cu0065%5Cu0072%5Cu0074%26%23x28%3B1%26%23x29%3B%27%3E | Action: BLOCKED
[2026-01-23 22:39:10] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Cmarquee+onstart%3D%27javascript%3Aalert%26%23x28%3B1%26%23x29%3B%27%3E | Action: BLOCKED
[2026-01-23 22:39:32] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Ca%2Fhref%3D%22javascript%3A%26%2313%3B+javascript%3Aprompt%281%29%22%3E%3Cinput+type%3D%22X%22%3E | Action: BLOCKED
[2026-01-23 22:40:04] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3Cobject+data%3D%22http%3A%2F%2Fcorkami.googlecode.com%2Fsvn%2F%21svn%2Fbc%2F480%2Ftrunk%2Fmisc%2Fpdf%2Fhelloworld_js_X.pdf%22%3E | Action: BLOCKED
[2026-01-23 22:41:01] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CBODY+ONLOAD%3Dalert%28%26%2365533%3BXSS%26%2365533%3B%29%3E | Action: BLOCKED
[2026-01-23 22:41:57] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CLINK+REL%3D%22stylesheet%22+HREF%3D%22javascript%3Aalert%28%27XSS%27%29%3B%22%3E | Action: BLOCKED
[2026-01-24 10:00:44] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:00:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:01:15] | IP: 127.0.0.1 | Method: GET | Payload:  | Action: ALLOWED
